marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,2,854,184,500,483,576
0,3,940,195,483,530,584
0,1,942,185,458,511,551
0,2,852,185,502,488,575
0,3,940,191,481,529,586
0,1,940,194,454,512,555
0,2,853,186,502,489,579
0,3,940,193,484,524,587
0,1,942,187,453,507,563
0,2,855,185,502,485,583
0,3,938,189,482,525,589
0,1,937,186,454,507,549
0,2,854,185,503,485,578
0,3,934,192,485,526,584
0,1,943,187,453,507,563
0,2,854,185,505,485,577
0,3,932,193,483,527,585
0,1,939,189,451,507,556
0,2,855,184,504,485,576
0,3,937,190,481,529,586
0,1,942,454,506,557,
0,2,853,503,488,576,
0,3,935,483,529,587,
0,1,940,183,450,508,553
0,2,855,184,503,486,576
0,3,933,194,484,529,586
0,1,939,194,455,509,554
0,2,853,184,501,487,579
0,3,939,191,481,528,583
0,1,941,189,450,507,560
0,2,851,182,500,488,584
0,3,940,190,481,530,587
0,1,940,184,455,511,553
0,2,852,179,503,489,582
0,3,937,190,482,530,588
0,1,942,184,454,506,559
0,2,853,181,505,489,577
0,3,936,190,487,527,588
0,1,939,183,454,511,558
0,2,854,181,505,481,576
0,3,936,192,484,526,588
0,1,942,453,511,555,
0,2,853,504,489,580,
0,3,933,483,524,585,
0,1,941,182,454,506,552
0,2,853,184,500,486,584
0,3,935,191,484,525,587
0,1,938,184,454,508,557
0,2,849,183,503,485,582
0,3,940,193,483,530,584
0,1,938,184,455,510,557
0,2,852,183,501,485,578
0,3,937,193,485,531,588
0,1,941,186,456,507,553
0,2,853,184,503,485,576
0,3,937,189,486,526,589
0,1,939,186,459,508,556
0,2,853,185,503,487,574
0,3,936,193,482,530,588
0,1,940,188,454,511,557
0,2,855,184,504,484,577
0,3,941,192,482,528,586
0,1,943,184,454,506,553
0,2,854,184,503,484,578
0,3,938,189,482,527,584
0,1,939,185,454,509,560
0,2,852,183,504,485,579
0,3,936,192,485,527,589
0,1,939,186,457,510,555
0,2,851,180,503,482,575
0,3,936,190,483,530,586
0,1,937,184,454,506,552
0,2,852,185,501,488,577
0,3,934,193,483,526,586
0,1,938,189,453,505,559
0,2,855,182,503,488,581
0,3,939,192,483,525,587
0,1,941,189,458,508,562
0,2,853,184,504,485,580
0,3,938,189,479,526,589
0,1,942,186,452,511,553
0,2,853,183,504,488,584
0,3,936,189,484,524,588
0,1,938,193,455,510,556
0,2,853,185,504,483,582
0,3,937,193,484,524,585
0,1,941,182,452,507,561
0,2,856,184,504,483,579
0,3,937,192,484,527,587
0,1,938,186,456,511,560
0,2,852,183,503,487,576
0,3,937,191,483,525,586
0,1,938,185,454,507,556
0,2,851,185,501,487,576
0,3,935,190,485,525,588
0,1,941,187,459,506,555
0,2,852,184,498,483,583
0,3,934,193,484,522,588
0,1,939,191,456,510,553
0,2,853,186,501,490,576
0,3,934,193,483,527,588
0,1,939,184,454,510,566
0,2,855,183,505,483,577
0,3,936,192,484,527,585
0,1,936,190,458,506,566
0,2,853,185,501,485,579
0,3,937,192,482,525,588
0,1,939,187,454,507,555
0,2,853,187,503,488,583
0,3,936,190,481,527,585
0,1,940,183,457,508,562
0,2,853,184,499,484,585
0,3,932,191,481,524,585
0,1,942,185,452,508,558
0,2,857,183,503,486,580
0,3,936,191,483,528,583
0,1,942,189,458,507,556
0,2,853,184,502,483,577
0,3,940,192,482,527,586
0,1,936,186,453,513,560
0,2,852,181,501,487,575
0,3,937,190,477,526,587
0,1,939,185,453,507,564
0,2,855,184,503,483,575
0,3,934,189,480,528,586
0,1,185,453,508,553,
0,2,858,184,504,488,583
0,3,934,193,483,528,584
0,1,941,185,511,552,
0,2,857,185,486,577,
0,3,938,191,527,586,
0,1,940,187,454,511,550
0,2,853,185,505,487,577
0,3,940,190,484,528,585
0,1,940,186,453,510,551
0,2,853,184,503,486,582
0,3,940,192,484,528,586
0,1,940,184,461,510,552
0,2,854,182,507,487,583
0,3,938,195,483,523,585
0,1,939,188,453,511,558
0,2,853,180,506,484,578
0,3,936,191,477,527,587
0,1,937,185,455,512,556
0,2,853,182,505,489,577
0,3,937,192,480,529,588
0,1,940,190,455,512,562
0,2,854,183,504,484,575
0,3,937,194,484,526,587
0,1,939,183,459,507,563
0,2,855,182,503,489,576
0,3,933,193,484,526,586
0,1,939,459,509,572,
0,2,854,502,487,582,
0,3,935,480,528,587,
0,1,940,185,456,513,554
0,2,855,184,505,485,578
0,3,939,191,484,530,587
0,1,939,186,458,506,556
0,2,857,184,503,482,578
0,3,939,190,479,526,588
0,1,939,187,456,512,557
0,2,856,184,504,483,582
0,3,939,192,482,525,587
0,1,941,183,455,509,561
0,2,855,183,503,490,
0,3,934,191,483,526,587
0,1,938,189,459,512,547
0,2,854,185,502,487,575
0,3,932,195,487,530,587
0,1,940,188,456,507,554
0,2,854,185,499,488,579
0,3,939,193,484,526,587
0,1,939,186,457,509,554
0,2,854,183,503,484,583
0,3,935,192,483,527,588
0,1,941,186,453,511,557
0,2,857,183,499,485,580
0,3,932,192,483,528,584
0,1,940,186,455,507,553
0,2,854,184,505,484,576
0,3,938,193,481,527,582
0,1,939,189,457,504,552
0,2,855,185,504,484,578
0,3,941,189,483,526,585
0,1,941,187,451,510,561
0,2,852,185,503,484,581
0,3,935,190,485,525,582
0,1,939,188,456,507,556
0,2,853,183,501,487,578
0,3,935,192,483,527,584
0,1,939,188,455,510,559
0,2,855,182,504,484,578
0,3,933,191,485,529,588
0,1,940,189,454,512,559
0,2,856,184,503,484,583
0,3,934,192,484,527,586
0,1,940,188,457,507,555
0,2,855,184,505,484,578
0,3,938,191,483,525,581
0,1,941,186,452,507,558
0,2,855,185,505,482,575
0,3,936,190,479,527,584
0,1,940,190,454,508,553
0,2,853,185,504,487,578
0,3,934,191,481,528,585
0,1,940,185,457,507,563
0,2,854,185,505,487,583
