marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,42:25.5,2,1611,1970,0,5,209,876,1084,387,822
0,42:25.5,52630,1616,1965,0,5,188,884,1119,397,817
0,42:25.6,1,1594,1913,0,5,203,870,1072,374,823
0,42:25.6,2,1610,1965,0,5,205,877,1080,503,828
0,42:25.6,52630,1618,1967,0,5,188,886,1118,396,818
0,42:25.7,1,1594,1913,0,5,206,874,1074,375,822
0,42:25.7,2,1609,1961,0,5,216,878,1080,453,831
0,42:25.7,52630,1616,1965,0,5,188,885,1116,396,819
0,42:25.7,1,1594,1913,0,5,204,873,1075,375,823
0,42:25.7,2,1609,1956,0,5,212,876,1083,465,831
0,42:25.7,52630,1619,1967,0,5,186,882,1116,396,817
0,42:25.7,1,1594,1913,0,5,202,869,1076,375,820
0,42:25.7,2,1609,1957,0,5,212,872,1081,516,825
0,42:25.7,52630,1621,1969,0,5,185,880,1117,400,817
0,42:25.8,1,1594,1912,0,5,203,870,1074,372,820
0,42:25.8,2,1610,1962,0,5,209,871,1080,453,824
0,42:25.8,52630,1623,1971,0,5,187,885,1117,400,817
0,42:25.8,1,1594,1913,0,5,201,874,1075,376,822
0,42:25.8,2,1610,1963,0,5,212,875,1082,476,825
0,42:25.8,52630,1624,1973,0,5,184,886,1114,401,817
0,42:25.9,1,1595,1912,0,5,203,872,1074,378,820
0,42:25.9,2,1609,1959,0,5,215,874,1082,480,819
0,42:25.9,52630,1626,1973,0,5,186,882,1113,398,818
0,42:25.9,1,1595,1910,0,5,207,872,1069,376,818
0,42:25.9,2,1608,1956,0,5,215,876,1081,467,824
0,42:25.9,52630,1627,1974,0,5,186,886,1112,396,815
0,42:26.0,1,1594,1909,0,5,204,875,1071,375,824
0,42:26.0,2,1611,1966,0,5,208,874,1078,477,819
0,42:26.0,52630,1628,1975,0,5,186,886,1113,397,817
0,42:26.1,1,1595,1911,0,5,203,874,1069,375,826
0,42:26.1,2,1611,1964,0,5,211,878,1083,480,824
0,42:26.1,52630,1624,1973,0,5,190,883,1117,396,817
0,42:26.1,1,1594,1910,0,5,203,873,1071,377,821
0,42:26.1,2,1610,1962,0,5,211,880,1081,394,827
0,42:26.1,52630,1621,1970,0,5,187,881,1116,401,817
0,42:26.1,1,1594,1910,0,5,202,870,1067,376,823
0,42:26.1,2,1611,1971,0,5,214,875,1080,470,825
0,42:26.1,52630,1623,1972,0,5,185,885,1116,398,817
0,42:26.1,1,1594,1911,0,5,204,871,1070,375,824
0,42:26.1,2,1610,1964,0,5,212,878,1083,481,822
0,42:26.1,52630,1623,1967,0,5,187,883,1119,400,817
0,42:26.2,1,1594,1911,0,5,204,873,1071,376,821
0,42:26.2,2,1609,1960,0,5,209,880,1081,439,825
0,42:26.2,52630,1620,1967,0,5,188,884,1120,399,817
0,42:26.3,1,1594,1912,0,5,202,869,1068,378,824
0,42:26.3,2,1610,1961,0,5,212,879,1081,480,821
0,42:26.3,52630,1617,1964,0,5,189,881,1120,399,819
0,42:26.3,1,1595,1915,0,5,201,870,1068,378,826
0,42:26.3,2,1610,1961,0,5,214,876,1083,412,823
0,42:26.3,52630,1619,1966,0,5,189,878,1117,398,817
0,42:26.3,1,1595,1916,0,5,204,873,1070,372,831
0,42:26.3,2,1612,1976,0,5,205,875,1081,475,826
0,42:26.3,52630,1620,1963,0,5,185,882,1118,400,817
0,42:26.3,1,1595,1916,0,5,204,872,1073,375,828
0,42:26.3,2,1613,1995,0,5,208,874,1078,475,829
0,42:26.3,52630,1622,1966,0,5,187,883,1117,401,817
0,42:26.4,1,1595,1917,0,5,207,870,1073,374,820
0,42:26.4,2,1614,1994,0,5,210,875,1082,449,820
0,42:26.4,52630,1623,1968,0,5,188,883,1118,399,816
0,42:26.5,1,1595,1918,0,5,201,875,1072,374,825
0,42:26.5,2,1613,1985,0,5,213,876,1083,388,828
0,42:26.5,52630,1620,1967,0,5,187,882,1119,400,816
0,42:26.5,1,1595,1917,0,5,201,868,1070,378,824
0,42:26.5,2,1615,2000,0,5,212,873,1081,404,827
0,42:26.5,52630,1621,1963,0,5,185,882,1115,401,816
0,42:26.6,1,1595,1917,0,5,209,872,1073,375,827
0,42:26.6,2,1615,2002,0,5,215,873,1081,412,823
0,42:26.6,52630,1622,1965,0,5,188,887,1119,397,817
0,42:26.6,1,1595,1917,0,5,204,874,1071,371,828
0,42:26.6,2,1617,2006,0,5,215,877,1083,507,826
0,42:26.6,52630,1624,1967,0,5,189,886,1116,397,816
0,42:26.6,1,1596,1918,0,5,204,871,1072,374,826
0,42:26.6,2,1618,2021,0,5,211,875,1080,424,820
0,42:26.6,52630,1625,1970,0,5,187,881,1116,400,815
0,42:26.7,1,1596,1918,0,5,206,869,1073,377,826
0,42:26.7,2,1618,2021,0,5,208,875,1080,507,819
0,42:26.7,52630,1626,1972,0,5,186,882,1118,400,817
0,42:26.7,1,1596,1919,0,5,202,870,1073,374,823
0,42:26.7,2,1619,2025,0,5,218,876,1083,475,823
0,42:26.7,52630,1627,1973,0,5,186,883,1117,396,816
0,42:26.7,1,1596,1920,0,5,205,871,1070,373,824
0,42:26.7,2,1619,2031,0,5,212,874,1082,389,829
0,42:26.7,52630,1626,1968,0,5,188,879,1116,398,816
0,42:26.8,1,1595,1920,0,5,208,874,1071,376,824
0,42:26.8,2,1619,2032,0,5,215,874,1081,467,823
0,42:26.8,52630,1626,1970,0,5,189,882,1116,398,816
0,42:26.8,1,1595,1919,0,5,205,872,1072,375,822
0,42:26.8,2,1619,2036,0,5,210,873,1079,452,822
0,42:26.8,52630,1626,1971,0,5,188,880,1117,402,817
0,42:26.9,1,1594,1916,0,5,200,874,1078,378,824
0,42:26.9,2,1620,2039,0,5,207,874,1082,462,826
0,42:26.9,52630,1626,1966,0,5,188,881,1118,397,819
0,42:26.9,1,1594,1917,0,5,203,872,1073,375,824
0,42:26.9,2,1617,2022,0,5,212,877,1083,433,825
0,42:26.9,52630,1626,1969,0,5,186,885,1115,398,817
0,42:26.9,1,1594,1916,0,5,205,873,1069,372,828
0,42:26.9,2,1618,2025,0,5,210,873,1082,478,820
0,42:26.9,52630,1627,1971,0,5,188,886,1119,399,819
0,42:27.0,1,1594,1915,0,5,202,870,1070,374,828
0,42:27.0,2,1619,2031,0,5,209,876,1083,450,826
0,42:27.0,52630,1623,1969,0,5,187,885,1121,399,820
0,42:27.1,1,1594,1915,0,5,201,869,1075,374,825
0,42:27.1,2,1618,2025,0,5,209,877,1080,454,823
0,42:27.1,52630,1620,1968,0,5,184,881,1120,397,819
0,42:27.2,1,1593,1915,0,5,204,872,1070,373,825
0,42:27.2,2,1619,2031,0,5,210,875,1081,461,824
0,42:27.2,52630,1618,1965,0,5,188,881,1117,395,819
0,42:27.2,1,1593,1913,0,5,202,869,1073,376,826
0,42:27.2,2,1618,2020,0,5,207,876,1083,448,828
0,42:27.2,52630,1620,1968,0,5,187,882,1118,398,818
0,42:27.3,1,1593,1910,0,5,202,872,1073,382,819
0,42:27.3,2,1615,2005,0,5,212,874,1084,464,825
0,42:27.3,52630,1622,1970,0,5,187,886,1115,397,816
0,42:27.3,1,1593,1909,0,5,205,872,1071,372,824
0,42:27.3,2,1616,2011,0,5,213,875,1080,447,827
0,42:27.3,52630,1624,1972,0,5,189,884,1117,395,819
0,42:27.3,1,1593,1911,0,5,203,874,1072,373,823
0,42:27.3,2,1617,2013,0,5,210,872,1081,473,827
0,42:27.3,52630,1620,1970,0,5,187,886,1120,394,816
0,42:27.3,1,1593,1910,0,5,202,872,1073,378,826
0,42:27.3,2,1615,1999,0,5,211,875,1083,393,823
0,42:27.3,52630,1618,1969,0,5,187,884,1117,397,817
0,42:27.4,1,1593,1911,0,5,204,871,1076,376,824
0,42:27.4,2,1614,1990,0,5,213,876,1081,408,820
0,42:27.4,52630,1620,1971,0,5,188,880,1118,398,817
0,42:27.5,1,1594,1910,0,5,206,875,1069,372,821
0,42:27.5,2,1613,1987,0,5,211,875,1082,446,825
0,42:27.5,52630,1617,1970,0,5,189,883,1115,400,817
0,42:27.5,1,1593,1908,0,5,201,873,1069,373,826
0,42:27.5,2,1615,2003,0,5,212,872,1082,450,817
0,42:27.5,52630,1620,1972,0,5,186,882,1116,401,819
0,42:27.5,1,1593,1908,0,5,206,872,1072,377,824
0,42:27.5,2,1615,2001,0,5,215,874,1080,486,824
0,42:27.5,52630,1621,1974,0,5,185,884,1117,398,818
0,42:27.6,1,1594,1908,0,5,203,873,1073,377,822
0,42:27.6,2,1616,2016,0,5,215,874,1080,451,827
0,42:27.6,52630,1623,1975,0,5,186,883,1117,399,816
0,42:27.6,1,1594,1909,0,5,204,872,1072,378,822
0,42:27.6,2,1617,2022,0,5,209,877,1083,469,824
0,42:27.6,52630,1620,1973,0,5,188,886,1117,397,818
0,42:27.6,1,1594,1909,0,5,206,874,1072,374,825
0,42:27.6,2,1615,2006,0,5,208,874,1082,420,821
0,42:27.6,52630,1622,1974,0,5,186,884,1116,399,817
0,42:27.7,1,1594,1909,0,5,202,872,1072,378,818
0,42:27.7,2,1616,2011,0,5,213,873,1081,473,826
0,42:27.7,52630,1623,1975,0,5,185,878,1118,398,819
0,42:27.7,1,1594,1910,0,5,202,870,1073,376,817
0,42:27.7,2,1616,2013,0,5,210,873,1082,455,824
0,42:27.7,52630,1625,1977,0,5,187,880,1117,398,818
0,42:27.8,1,1595,1912,0,5,204,871,1071,376,821
0,42:27.8,2,1617,2015,0,5,204,876,1083,411,819
0,42:27.8,52630,1626,1977,0,5,187,883,1115,398,818
0,42:27.9,1,1595,1912,0,5,206,871,1066,377,821
0,42:27.9,2,1617,2012,0,5,213,872,1079,411,826
0,42:27.9,52630,1627,1977,0,5,186,880,1111,399,816
0,42:27.9,1,1594,1910,0,5,204,871,1075,375,820
0,42:27.9,2,1617,2019,0,5,211,873,1083,414,826
0,42:27.9,52630,1628,1978,0,5,187,885,1119,399,816
0,42:27.9,1,1594,1908,0,5,205,868,1069,376,825
