marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,2020-10-16 18:33:35.136415,2,735,1656,0,5,923,185,457,522,581
0,2020-10-16 18:33:35.136415,3,791,1652,0,5,935,188,488,501,572
0,2020-10-16 18:33:35.177304,1,745,1609,0,5,920,193,480,534,634
0,2020-10-16 18:33:35.177304,2,735,1657,0,5,921,186,457,521,578
0,2020-10-16 18:33:35.177304,3,791,1652,0,5,936,188,492,501,568
0,2020-10-16 18:33:35.215204,1,746,1609,0,5,922,189,479,519,640
0,2020-10-16 18:33:35.215204,2,735,1657,0,5,918,187,459,522,580
0,2020-10-16 18:33:35.215204,3,791,1652,0,5,937,187,490,502,576
0,2020-10-16 18:33:35.257028,1,746,1610,0,5,920,190,477,523,638
0,2020-10-16 18:33:35.257028,2,735,1656,0,5,923,186,460,522,575
0,2020-10-16 18:33:35.257028,3,791,1652,0,5,939,187,488,500,578
0,2020-10-16 18:33:35.320499,1,745,1611,0,5,924,189,479,523,639
0,2020-10-16 18:33:35.320499,2,734,1656,0,5,928,186,460,522,588
0,2020-10-16 18:33:35.320499,3,791,1652,0,5,937,185,488,504,582
0,2020-10-16 18:33:35.382137,1,745,1610,0,5,923,188,481,533,637
0,2020-10-16 18:33:35.382137,2,734,1655,0,5,924,189,462,526,580
0,2020-10-16 18:33:35.382137,3,791,1653,0,5,936,186,492,503,573
0,2020-10-16 18:33:35.415007,1,745,1611,0,4,924,,478,531,634
0,2020-10-16 18:33:35.415007,2,735,1655,0,4,922,,461,526,575
0,2020-10-16 18:33:35.415007,3,791,1652,0,4,939,,488,499,573
0,2020-10-16 18:33:35.460918,1,745,1610,0,5,921,195,476,523,637
0,2020-10-16 18:33:35.460918,2,735,1656,0,5,921,183,457,529,575
0,2020-10-16 18:33:35.460918,3,791,1652,0,5,936,189,490,501,572
0,2020-10-16 18:33:35.498351,1,745,1610,0,5,922,191,477,527,638
0,2020-10-16 18:33:35.498351,2,734,1656,0,5,919,189,458,524,581
0,2020-10-16 18:33:35.498351,3,792,1652,0,5,938,185,489,504,575
0,2020-10-16 18:33:35.530483,1,744,1611,0,5,920,196,479,526,636
0,2020-10-16 18:33:35.530483,2,734,1656,0,5,923,186,461,524,579
0,2020-10-16 18:33:35.530483,3,792,1652,0,5,939,186,491,502,582
0,2020-10-16 18:33:35.584521,1,745,1610,0,5,923,191,480,526,642
0,2020-10-16 18:33:35.584521,2,734,1656,0,5,925,185,456,525,579
0,2020-10-16 18:33:35.584521,3,792,1651,0,5,939,183,489,502,581
0,2020-10-16 18:33:35.613443,1,745,1611,0,5,924,202,474,527,643
0,2020-10-16 18:33:35.613443,2,734,1656,0,5,923,187,460,521,581
0,2020-10-16 18:33:35.613443,3,792,1652,0,5,944,188,489,502,575
0,2020-10-16 18:33:35.645359,1,745,1611,0,5,926,191,473,523,637
0,2020-10-16 18:33:35.645359,2,734,1655,0,5,921,187,457,522,581
0,2020-10-16 18:33:35.645359,3,792,1653,0,5,940,190,489,502,572
0,2020-10-16 18:33:35.737819,1,745,1611,0,5,922,192,476,529,640
0,2020-10-16 18:33:35.737819,2,734,1655,0,5,923,187,460,519,576
0,2020-10-16 18:33:35.737819,3,792,1653,0,5,937,186,489,500,573
0,2020-10-16 18:33:35.769273,1,745,1611,0,5,921,191,479,528,635
0,2020-10-16 18:33:35.769273,2,734,1655,0,5,927,185,461,522,577
0,2020-10-16 18:33:35.769273,3,792,1652,0,5,937,187,490,502,572
0,2020-10-16 18:33:35.830511,1,745,1611,0,5,921,191,480,522,638
